timestamp,client_ip,country,city,provider,asn,status,method,path,vpn,proxy,mobile,bot
2026-07-04T04:02:01.568805+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/count?translation=Elberfelder+1905&book_from=1.+Mose&chapter_from=1&verse_from=1&book_to=Offenbarung&chapter_to=22&verse_to=21,False,False,True,False
2026-07-04T04:03:19.8035+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/strong.html,False,False,True,False
2026-07-04T04:03:25.622885+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/strong/number/G26,False,False,True,False
2026-07-04T04:03:36.471285+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Luther 1912/Offenbarung/2/19,False,False,True,False
2026-07-04T04:03:40.424342+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/read?translation=Luther+1912&book=Offenbarung&chapter=2&verse=19&highlight=1,False,False,True,False
2026-07-04T04:03:40.525993+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:03:40.592398+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Luther 1912/books,False,False,True,False
2026-07-04T04:03:40.654915+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Luther 1912/Offenbarung/chapters,False,False,True,False
2026-07-04T04:03:40.765242+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Luther 1912/Offenbarung/2,False,False,True,False
2026-07-04T04:03:54.747621+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/parallel.html,False,False,True,False
2026-07-04T04:03:54.961832+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/translations,False,False,True,False
2026-07-04T04:03:55.024401+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/books,False,False,True,False
2026-07-04T04:03:56.968682+00:00,109.41.48.189,Germany,Dortmund,D2VODAFONE,N/A,200,GET,/api/Elberfelder 1905/5. Mose/chapters,False,False,True,False
